"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"189","こりす公園","東京都杉並区高円寺南1- 4-16","北","A-132","H4.3.31","","公園","3.56","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.660336026187","35.6992210586586","公園・公衆トイレ"
"190","西荻北公園","東京都杉並区西荻北4- 5-14","北","A-133","H4.3.31","","公園","5.43","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.594413459434","35.7071650975174","公園・公衆トイレ"
"191","柳窪南公園","東京都杉並区高井戸東4-15- 1","南","A-134","H4.3.31","","公園","2.13","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.619587101513","35.6891256716814","公園・公衆トイレ"
"192","三谷南公園","東京都杉並区今川3- 6-14","北","A-135","H4.3.31","","公園","2.52","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.603667460802","35.7153606436094","公園・公衆トイレ"
"193","宮前公園","東京都杉並区宮前2-12-18","北","A-136","H5.5.31","","公園","7.45","鉄筋","1","1","2","1","","","","","","","","","","","","","","","","139.610892146984","35.6942752820023","公園・公衆トイレ"
"194","成田西公園","東京都杉並区成田西2-12- 4","南","A-137","H5.5.31","","公園","3.6","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.62441234209","35.6895699199444","公園・公衆トイレ"
"195","桐の木公園","東京都杉並区高井戸西2- 7-36","南","A-138","H5.5.31","","公園","1.65","鉄骨","1","1","1","","","","","","","","","","","","","","","","","139.611175079636","35.6845562212756","公園・公衆トイレ"
"196","本天沼東公園","東京都杉並区本天沼1- 9- 8","北","A-139","H5.3.31","","公園","2.34","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.6303384781","35.7131127875277","公園・公衆トイレ"
"197","西荻わかば公園","東京都杉並区西荻北2- 9-17","北","A-140","H5.3.31","","公園","4.9","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.603959928991","35.7051700999552","公園・公衆トイレ"
"198","小七山公園","東京都杉並区阿佐谷北6-30-14","北","A-141","H5.3.31","","公園","2.35","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.636443663396","35.7162200615879","公園・公衆トイレ"
"199","成三公園","東京都杉並区成田東2-19- 8","南","A-142","H5.3.31","","公園","7.35","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.635270959004","35.6897928703283","公園・公衆トイレ"
